display,target,company,trial_count,highest_phase,status_RECRUITING,status_NOT_YET_RECRUITING,status_ACTIVE_NOT_RECRUITING,status_ENROLLING_BY_INVITATION,status_COMPLETED,status_SUSPENDED,status_TERMINATED,status_WITHDRAWN,status_UNKNOWN,latest_update,has_results_count,key_ncts
MGD007,gpA33×CD3,MacroGenics,2,Phase 1/2,0,0,0,0,2,0,0,0,0,2022-02-08,1,NCT03531632
HPN536,MSLN×CD3×albumin,Harpoon,1,Phase 1,0,0,0,0,1,0,0,0,0,2024-06-07,0,
AMG 596,EGFRvIII×CD3,Amgen,1,Phase 1,0,0,0,0,0,0,1,0,0,2024-10-29,1,NCT03296696
IMC-C103C,MAGE-A4 peptide–HLA-A*02:01×CD3,Immunocore,1,Phase 1/2,0,0,0,0,0,0,0,1,0,2024-10-18,0,
Solitomab/MT110,EpCAM×CD3,Amgen,1,Phase 1,0,0,0,0,1,0,0,0,0,2015-01-13,0,
PF-06671008,P-cadherin×CD3,Pfizer,1,Phase 1,0,0,0,0,0,0,1,0,0,2020-05-06,1,NCT02659631
ZGGS34,MUC17×CD3×CD28,待核(见ct.gov),1,Phase 1/2,1,0,0,0,0,0,0,0,0,2026-04-28,0,NCT07258121
HPN424,PSMA×CD3×albumin,Harpoon,1,Phase 1/2,0,0,0,0,0,0,1,0,0,2024-02-14,1,NCT03577028
Pasotuxizumab/AMG 212/BAY 2010112,PSMA×CD3,Amgen/Bayer,1,Phase 1,0,0,0,0,1,0,0,0,0,2019-09-27,0,
AMG 211/MEDI-565,CEA×CD3,Amgen/MedImmune,3,Phase 1,0,0,0,0,2,0,1,0,0,2024-05-03,1,NCT02291614
BI 836909,DLL3×CD3,Boehringer Ingelheim,1,Phase 1,0,0,0,0,1,0,0,0,0,2022-02-24,1,NCT02514239
GEN1044,5T4×CD3,Genmab,1,Phase 1/2,0,0,0,0,0,0,1,0,0,2023-07-25,1,NCT04424641
GEN1047,B7-H4×CD3,Genmab,1,Phase 1/2,0,0,0,0,0,0,1,0,0,2026-07-23,0,
VIR-5818/AMX-818/SAR446368,HER2×CD3,Vir Biotechnology（原 Amunix/Sanofi）,1,Phase 1/2,1,0,0,0,0,0,0,0,0,2025-09-24,0,NCT05356741
